date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:29	0/-1	---M--	302	error ('')			http://widget-v4.tidiochat.com/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.js	C:/Users/Nico/Documents/GitHub/website/widget-v4.tidiochat.com/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.38.delayed	(from http://motions.graphics/)
17:08:30	9120/9120	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/facebook-conversion-pixel/pixel-cat.min-2.4.0.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/facebook-conversion-pixel/pixel-cat.min-2.4.0.js	(from http://motions.graphics/)
17:08:30	91824/91824	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/min/1/wp-content/themes/lotek/lotek/js/plugins-b3e8e2a69f5100c3e240acdcb20a1c18.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/min/1/wp-content/themes/lotek/lotek/js/plugins-b3e8e2a69f5100c3e240acdcb20a1c18.js	(from http://motions.graphics/)
17:08:30	48447/48447	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/min/1/wp-content/uploads/pum/pum-site-scripts-b93571dbe1f06a760566d1fa2db1c4bc.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/min/1/wp-content/uploads/pum/pum-site-scripts-b93571dbe1f06a760566d1fa2db1c4bc.js	(from http://motions.graphics/)
17:08:31	1398/1398	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2025%20Jul%202017%2023:56:01%20GMT	http://motions.graphics/wp-includes/js/wp-embed.min.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-includes/js/wp-embed.min.js	(from http://motions.graphics/)
17:08:32	24323/24323	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/revslider-particles-addon/public/assets/js/revolution.addon.particles.min-1.0.6.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/revslider-particles-addon/public/assets/js/revolution.addon.particles.min-1.0.6.js	(from http://motions.graphics/)
17:08:32	23576/23576	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/prettyphoto/js/jquery.prettyPhoto.min-4.11.2.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/prettyphoto/js/jquery.prettyPhoto.min-4.11.2.1.js	(from http://motions.graphics/)
17:08:32	6949/6949	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2025%20Jul%202017%2023:55:05%20GMT	http://motions.graphics/wp-content/plugins/js_composer/assets/lib/bower/imagesloaded/imagesloaded.pkgd.min.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/plugins/js_composer/assets/lib/bower/imagesloaded/imagesloaded.pkgd.min.js	(from http://motions.graphics/)
17:08:33	41328/41328	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/owl-carousel2-dist/owl.carousel.min-4.11.2.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/owl-carousel2-dist/owl.carousel.min-4.11.2.1.js	(from http://motions.graphics/)
17:08:33	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min-4.11.2.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/lib/waypoints/waypoints.min-4.11.2.1.js	(from http://motions.graphics/)
17:08:33	16410/16410	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-includes/js/underscore.min-1.8.3.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-includes/js/underscore.min-1.8.3.js	(from http://motions.graphics/)
17:08:33	23887/23887	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/js/dist/vc_grid.min-4.11.2.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/js_composer/assets/js/dist/vc_grid.min-4.11.2.1.js	(from http://motions.graphics/)
17:08:33	1097/1097	---M--	404	error ('Not%20Found')	image/jpeg	date:Tue,%2019%20Feb%202019%2020:08:34%20GMT	https://i.ytimg.com/vi/ID/hqdefault.jpg	C:/Users/Nico/Documents/GitHub/website/i.ytimg.com/vi/ID/hqdefault.42.delayed	(from http://motions.graphics/)
17:08:34	1658/1658	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202017%2023:55:05%20GMT	http://motions.graphics/wp-content/plugins/js_composer/assets/css/vc_lte_ie9.min.css	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/plugins/js_composer/assets/css/vc_lte_ie9.min.css	(from http://motions.graphics/)
